,,,PLANTA BAJA / GROUND FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,Jardin / Garden,Precio / Price,Status
515,T1,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,18.02,194.00,107.11,"1,153.00",,,RESERVADA
516,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,-,,112.50,"1,211.00",18.02,194.00,130.52,"1,405.00",,,RESERVADA
517,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,-,,112.50,"1,211.00",21.65,233.00,134.15,"1,444.00",,,RESERVADA
518,T1,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$463,100",
519,T1A,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$463,100",
520,T1,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$491,700",
521,T6A,2,1,1.5,Golf,-,,58.53,630.00,21.74,234.00,80.27,864.00,,,RESERVADA
522,T5,2,1+,2,Golf,Lock-Off,,88.63,954.00,20.72,223.00,109.34,"1,177.00",,"$499,400",
523,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",19.32,208.00,122.16,"1,315.00",,"$517,000",
524,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",19.32,208.00,122.16,"1,315.00",,"$517,000",
525,T6,2,1,1.5,Golf,-,,58.81,633.00,21.65,233.00,80.45,866.00,,,RESERVADA
526,T6A,2,1,1.5,Golf,-,,58.53,630.00,11.98,129.00,70.51,759.00,,,RESERVADA
527,T5,2,1 +,2,Golf,Lock-Off,,88.63,954.00,20.35,219.00,108.97,"1,173.00",,"$499,400",
528,T7,2,1 +,2,Golf,Family Room,,84.26,907.00,23.69,255.00,107.95,"1,162.00",,"$474,100",
,,,6TO NIVEL / PENTHOUSE,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,Rooftop m2,Precio / Price,Status
609,T1,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.32,208.00,108.41,"1,167.00",,,RESERVADA
610,T1A,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.32,208.00,108.41,"1,167.00",,,RESERVADA
611,T1,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,89.00,958.00,19.23,207.00,180.70,"1,165.00",72.47,,RESERVADA
612,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,113.25,"1,219.00",25.08,270.00,234.39,"1,489.00",96.06,"$837,000",RESERVADA
613,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,113.25,"1,219.00",15.42,166.00,224.70,"1,385.00",96.03,"$883,300",BLOQUEADO
614,T1,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,89.00,958.00,19.51,210.00,181.00,"1,168.00",72.49,"$738,100",BLOQUEADO
615,T1A,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,89.09,959.00,19.60,211.00,181.20,"1,170.00",72.51,"$738,100",
616,T1,2,2,2.5,Mar Y Lago / Ocean and Lake,Rooftop,,89.00,958.00,19.51,210.00,182.90,"1,168.00",74.39,"$740,300",
617,T6A,2,1,1.5,Golf,Rooftop,,58.62,631.00,21.92,236.00,132.00,867.00,51.46,"$543,400",
618,T5,2,2,2.5,Golf,Rooftop,,89.37,962.00,20.35,219.00,183.60,"1,181.00",73.89,"$748,000",
619,T8,2,2,2.5,Golf,Rooftop,,102.65,"1,105.00",19.32,208.00,207.20,"1,313.00",85.22,"$841,500",
620,T8,2,2,2.5,Golf,Rooftop,,102.65,"1,105.00",31.40,338.00,219.30,"1,443.00",85.25,"$888,800",
621,T6,2,1,1.5,Golf,-,,58.81,633.00,21.74,234.00,80.54,867.00,,,RESERVADA
622,T6A,2,1,1.5,Golf,-,,58.53,630.00,20.81,224.00,79.34,854.00,,,RESERVADA
623,T5,2,1 +,2,Golf,Lock-off,,88.63,954.00,21.00,226.00,109.62,"1,180.00",,"$507,100",
624,T7,2,1 +,2,Golf,Family Room,,84.26,907.00,18.67,201.00,102.93,"1,108.00",,"$477,400",
